partnerId,locationId,listingId,override,PL Status
768,9073307,143300540,Antimatch,NoPowerListing
392,9073308,121389500,Antimatch,NoPowerListing
398,9073308,121301060,Antimatch,NoPowerListing
402,9073308,34926950,Antimatch,NoPowerListing
420,9073308,166271423,Match,Sync
433,9073308,129810631,Antimatch,NoPowerListing
433,9073308,34927057,Antimatch,NoPowerListing
439,9073308,121072251,Match,Sync
439,9073308,121072250,Antimatch,NoPowerListing
440,9073308,121167637,Match,Sync
440,9073308,121167632,Antimatch,NoPowerListing
462,9073308,121042557,Match,Sync
462,9073308,121042556,Antimatch,NoPowerListing
462,9073308,166271427,Antimatch,NoPowerListing
469,9073308,121979616,Antimatch,NoPowerListing
483,9073308,166271445,Match,Sync
483,9073308,121090686,Antimatch,NoPowerListing
483,9073308,166271446,Antimatch,NoPowerListing
483,9073308,166271447,Antimatch,NoPowerListing
499,9073308,121397602,Antimatch,NoPowerListing
505,9073308,166277224,Antimatch,NoPowerListing
505,9073308,121428132,Antimatch,NoPowerListing
505,9073308,121428133,Antimatch,NoPowerListing
505,9073308,121428134,Antimatch,NoPowerListing
516,9073308,122014410,Antimatch,NoPowerListing
523,9073308,166274465,Match,Sync
523,9073308,121397990,Antimatch,NoPowerListing
524,9073308,121382856,Antimatch,NoPowerListing
532,9073308,122034704,Antimatch,NoPowerListing
